Table Name:,Name,Title (In English),Original title,Country,Province,Date/Year of census,Date/Year of Publication,Author/Publisher,Volume number (if applicable),File size of pdf original file  (KB),Number of Pages of Table,Number of pages of original file,Colonising power,,Meta Data Log of Tables collected,N/A: Not Available
N/A,cargx_18690101_0001_76319,"The First Cenus of the Argentine Republic verified on the days of September 15th, 16th, and 17th, 1869","PRIMER CENSO DE LA REPUBLICA ARGENTINA VERIFICADO EN LOS DIAS 15, 16 y 17 de Setiembre de 1869",Argentina,National Record,"September 15th, 16th, and 17th, 1869",1872,Diego G. de la Fuente - Superintendent of the Census,First entry,69960,N/A,806,Spain,,,
N/A,cargx_18950101_0001_76320,The Second Census of the Argentine Republic - Volume III - 1895 ,SEGUNDO  CENSO DE LA REPUBLICA ARGENTINA TOMO III Y ULTIMO 1895,Argentina,National Record,1895,1898,Diego G. de la Fuente - Superintendent of the Census,Volume 3,124085,N/A,784,Spain,,,
N/A,cargx_19140101_0001_76321,Third National Census - Taken on June 1st 1914,TERCER CENSO NACIONAL - Levantado el 1' de Junio de 1914,Argentina,National Record,1/06/1914,1916,Dr. Victorino de la Plaza ,Volume 2,51029,N/A,587,Spain,,,
N/A,cargx_19470101_0002_76077,"The 4th General Census of the Nation, 1947 - General Results of the Population Census","IV CENSO GENERAL DE LA NACION , 1947 - RESULTADOS GENERALES DEL CENSO DE POBLACION",Argentina,National Record,1947,1951,MINISTERIO DE ASUNTOS TECNICOS,Report 1,7043,N/A,42,Spain,,,
N/A,cargx_19600101_0004_76079,The National Population Census 1960,CENSO NACIONAL DE POBLACION 1960,Argentina,CUYANA ZONE,1960,N/A,PODER EJECUTIVO NACIONAL SECRETARIA DE ESTADO DE HACIENDA,Volume VIII,64993,N/A,440,Spain,,,
N/A,cfra_18460101_0001_76681,The Cesnus of France - The Second Series - TomeXIII - Population,STATISTIQUE DE LA FRANCE - DEUXI�ME S�RIE - TomeXIII -POPULATION,France,National Record,1861,N/A,Strasbourg - IMPRIM�RIE ADMINISTRATIVE DE VEUVE BERGER-LEVRAULT,Second Series - Tome XIII,147588,N/A,460,N/A,,,
N/A,cfra_18660101_0001_76682,The Census of France - The Second Series - TomeXVIL - Population,STATISTIQUE DE LA FRANCE - DEUXI�ME S�RIE - TomeXVIL -POPULATION,France,National Record,1866,N/A,Strasbourg - IMPRIM�RIE ADMINISTRATIVE DE VEUVE BERGER-LEVRAULT,Second Series - Tome XVIL,84384,N/A,294,N/A,,,
N/A,cfra_18860101_0003_76683,The General Census of France - Cenus Results counting the year 1891,STATISTIQUE G�N�RALE DE LA FRANCE - R�SULTATS STATISTIQUES - DU -D�NOMBREMENT DE 1891,France,National Record,1891,1894,"MINIST�RE DU COMMERCE, DE L'INDUSTRIE DES POSTES ET DES T�L�GRAPHES - OFFICE DU TRAVAIL",First Series,130488,N/A,828,N/A,,,
N/A,cfra_19010101_0001_76685,The Results of the General Population Census of the Population - Carried out on the 24th of March 1901,R�SULTATS STATISTIQUES DU RECENSEMENT G�N�RAL DE LA POPULATION - EFFECTU� LE 24 MARS 1901,France,National Record,1901,June 10th 1904,"MINIST�RE DU COMMERCE, DE L'INDUSTRIE DES POSTES ET DES T�L�GRAPHES - OFFICE DU TRAVAIL",Tome I,195343,N/A,906,N/A,,,
